event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
GW150914,2015-09-14 09:50:44.400,112.5,-70.2,0.164,24
GW170817,2017-08-17 12:41:04.400,197.45,-23.38,0.0044,32
GW190814,2019-08-14 21:10:39.000,134.56,2.69,0.005,25
