rank,gw_event_id,grb_event_id,confidence_score,time_diff_sec,time_diff_hours,angular_sep_deg,within_error_circle,temporal_score,spatial_score,significance_score,combined_error_deg,gw_time,grb_time,gw_ra,gw_dec,grb_ra,grb_dec,gw_snr,grb_flux,gw_pos_error,grb_pos_error
26,GW200129_065458,188211,0.6933801228272759,170305832.6,47307.17572222222,,False,0.0,0.0,0.8667251535340948,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.954534,52.92975559,26.8,28.65,,5.56e-05
27,GW200129_065458,188213,0.6911101605560046,170305832.6,47307.17572222222,,False,0.0,0.0,0.8638877006950056,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9822136,52.9542993,26.8,28.38,,5.56e-05
28,GW200129_065458,188212,0.6856613932584189,170305832.6,47307.17572222222,,False,0.0,0.0,0.8570767415730236,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9856372,52.95234096,26.8,27.78,,5.56e-05
29,GW200129_065458,188215,0.6853737162970673,170305832.6,47307.17572222222,,False,0.0,0.0,0.8567171453713341,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9419778,52.97412474,26.8,27.75,,5.56e-05
30,GW150914,188210,0.683566597159568,308362486.6,85656.24627777778,,False,0.0,0.0,0.85445824644946,,2015-09-14 09:50:44.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9234792,52.91002229,26.0,28.66,,5.56e-05
31,GW150914,188211,0.6834857776776143,308362486.6,85656.24627777778,,False,0.0,0.0,0.8543572220970178,,2015-09-14 09:50:44.400000+00:00,2025-06-22 10:05:31+00:00,,,214.954534,52.92975559,26.0,28.65,,5.56e-05
32,GW200129_065458,188246,0.6829178054372831,168455101.6,46793.08377777778,,False,0.0,0.0,0.8536472567966038,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4245773,65.14847058,26.8,27.5,,5.56e-05
33,GW200129_065458,188238,0.6829178054372831,168455101.6,46793.08377777778,,False,0.0,0.0,0.8536472567966038,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4363327,65.22851553,26.8,27.5,,5.56e-05
34,GW190521_074359,188210,0.6822387403491441,192162091.6,53378.35877777778,,False,0.0,0.0,0.85279842543643,,2019-05-21 07:43:59.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9234792,52.91002229,25.9,28.66,,5.56e-05
35,GW190521_074359,188211,0.6821580778624268,192162091.6,53378.35877777778,,False,0.0,0.0,0.8526975973280334,,2019-05-21 07:43:59.400000+00:00,2025-06-22 10:05:31+00:00,,,214.954534,52.92975559,25.9,28.65,,5.56e-05
