event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
3.68125E+17,GAIA_DR3,optical,,12.06320627,39.56832594,7.99E-08,19.752365
3.68125E+17,GAIA_DR3,optical,,12.07496884,39.58148781,1.67E-08,17.15736
3.68125E+17,GAIA_DR3,optical,,12.07946218,39.57460978,2.23E-08,17.638887
3.68125E+17,GAIA_DR3,optical,,12.07511333,39.57303337,2.80E-08,18.184822
3.68125E+17,GAIA_DR3,optical,,12.15013263,39.61382016,4.17E-09,14.108825
3.68125E+17,GAIA_DR3,optical,,12.14336262,39.60999509,4.64E-08,18.721952
3.68125E+17,GAIA_DR3,optical,,12.1120328,39.59552563,9.23E-08,19.92243
3.68125E+17,GAIA_DR3,optical,,12.09056529,39.59240761,8.11E-08,19.58336
3.68125E+17,GAIA_DR3,optical,,12.10406393,39.59620865,3.89E-06,21.070143
3.68125E+17,GAIA_DR3,optical,,12.10643909,39.60484283,1.38E-07,20.392132
3.68125E+17,GAIA_DR3,optical,,12.11325949,39.60504138,6.19E-09,15.257329
3.68125E+17,GAIA_DR3,optical,,12.12781443,39.6016538,4.97E-08,19.075253
3.68125E+17,GAIA_DR3,optical,,12.1280918,39.61139075,2.28E-08,17.608677
3.68125E+17,GAIA_DR3,optical,,12.12640671,39.60045077,1.76E-07,20.666874
3.68125E+17,GAIA_DR3,optical,,12.12886243,39.59913981,7.37E-08,19.63601
3.68125E+17,GAIA_DR3,optical,,12.14845413,39.6221336,1.51E-07,20.388351
3.68125E+17,GAIA_DR3,optical,,12.1349957,39.62281676,9.20E-07,20.869684
3.68125E+17,GAIA_DR3,optical,,12.13635302,39.62724957,5.06E-06,21.928646
3.68125E+17,GAIA_DR3,optical,,12.12264736,39.6247209,1.09E-07,20.056036
3.68125E+17,GAIA_DR3,optical,,12.1157651,39.62562724,1.86E-08,17.290438
3.68125E+17,GAIA_DR3,optical,,12.11637082,39.61093571,1.43E-06,21.013456
3.68125E+17,GAIA_DR3,optical,,12.12376381,39.6178035,2.25E-07,20.490385
3.68125E+17,GAIA_DR3,optical,,12.12148583,39.61664677,1.05E-06,21.097963
3.68125E+17,GAIA_DR3,optical,,12.12438426,39.63059914,2.47E-07,20.789341
3.68125E+17,GAIA_DR3,optical,,12.12842183,39.62843366,3.66E-07,20.807522
3.68125E+17,GAIA_DR3,optical,,12.13130451,39.623495,9.69E-08,19.83348
3.68125E+17,GAIA_DR3,optical,,12.12897098,39.62086679,4.85E-08,18.835989
3.68125E+17,GAIA_DR3,optical,,12.13779287,39.63222614,2.78E-06,21.616423
3.68131E+17,GAIA_DR3,optical,,12.22813978,39.65086501,3.38E-08,18.342472
3.68131E+17,GAIA_DR3,optical,,12.23282951,39.65995582,6.39E-09,15.038084
3.68131E+17,GAIA_DR3,optical,,12.26822414,39.67692409,3.22E-07,20.75047
3.68131E+17,GAIA_DR3,optical,,12.24823388,39.6674744,1.60E-07,20.260324
3.68131E+17,GAIA_DR3,optical,,12.24449086,39.66901452,5.08E-08,18.762348
3.68131E+17,GAIA_DR3,optical,,12.25308381,39.67595975,4.99E-08,18.778751
3.68131E+17,GAIA_DR3,optical,,12.25475586,39.67103496,2.40E-07,20.61672
3.68131E+17,GAIA_DR3,optical,,12.26379628,39.68000673,7.11E-08,19.167929
3.68131E+17,GAIA_DR3,optical,,12.25713514,39.68741811,3.19E-07,20.676048
3.68131E+17,GAIA_DR3,optical,,12.26025186,39.68861941,4.21E-08,18.552902
3.68131E+17,GAIA_DR3,optical,,12.16118106,39.62850872,1.43E-07,20.321129
3.68131E+17,GAIA_DR3,optical,,12.16537136,39.62048993,2.95E-07,20.794342
3.68131E+17,GAIA_DR3,optical,,12.17283203,39.63919931,5.36E-09,14.681491
3.68131E+17,GAIA_DR3,optical,,12.20827279,39.64701833,4.24E-08,18.381054
3.68131E+17,GAIA_DR3,optical,,12.19066041,39.64655818,1.12E-07,19.886557
3.68131E+17,GAIA_DR3,optical,,12.19430041,39.6506014,1.40E-08,16.7249
3.68131E+17,GAIA_DR3,optical,,12.2023024,39.65394985,1.16E-07,20.137375
3.68131E+17,GAIA_DR3,optical,,12.19749313,39.66124906,6.04E-08,19.141497
3.68131E+17,GAIA_DR3,optical,,12.15075774,39.62571707,3.37E-08,18.242128
3.68131E+17,GAIA_DR3,optical,,12.15295915,39.63885822,2.47E-08,17.471342
3.68131E+17,GAIA_DR3,optical,,12.15900812,39.65247789,1.89E-07,20.616686
3.68131E+17,GAIA_DR3,optical,,12.1556629,39.64612875,5.07E-07,20.926767
3.68131E+17,GAIA_DR3,optical,,12.16041934,39.63402055,3.33E-08,18.074205
3.68131E+17,GAIA_DR3,optical,,12.1350249,39.64078232,3.32E-08,18.201452
3.68131E+17,GAIA_DR3,optical,,12.14845716,39.64554249,8.72E-08,19.370157
3.68131E+17,GAIA_DR3,optical,,12.14549597,39.64003721,1.18E-06,21.079542
3.68131E+17,GAIA_DR3,optical,,12.14402664,39.65816149,2.99E-08,18.08573
3.68131E+17,GAIA_DR3,optical,,12.17187579,39.6599917,7.33E-07,20.821243
3.68131E+17,GAIA_DR3,optical,,12.1852971,39.66146938,1.75E-06,21.076004
3.68131E+17,GAIA_DR3,optical,,12.18461857,39.6654168,6.90E-07,20.52879
3.68131E+17,GAIA_DR3,optical,,12.15639923,39.67456087,5.51E-07,20.704071
3.68131E+17,GAIA_DR3,optical,,12.17927671,39.67884367,3.67E-09,13.438405
3.68131E+17,GAIA_DR3,optical,,12.17493276,39.68898211,8.84E-08,19.530794
3.68131E+17,GAIA_DR3,optical,,12.21234279,39.65368481,1.00E-06,20.982574
