event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
GW200202_154313,GWOSC,GW,2020-02-02 15:43:13.500000+00:00,,,,10.8
GW200208_130117,GWOSC,GW,2020-02-08 13:01:17.900000+00:00,,,,10.8
GW200208_222617,GWOSC,GW,2020-02-08 22:26:17.900000+00:00,,,,7.4
GW200209_085452,GWOSC,GW,2020-02-09 08:54:52.100000+00:00,,,,9.6
GW200210_092254,GWOSC,GW,2020-02-10 09:22:54.900000+00:00,,,,8.4
GW200216_220804,GWOSC,GW,2020-02-16 22:08:04.800000+00:00,,,,8.1
GW200219_094415,GWOSC,GW,2020-02-19 09:44:15.100000+00:00,,,,10.7
GW200220_061928,GWOSC,GW,2020-02-20 06:19:28.700000+00:00,,,,7.2
GW200220_124850,GWOSC,GW,2020-02-20 12:48:50.100000+00:00,,,,8.5
GW200224_222234,GWOSC,GW,2020-02-24 22:22:34.400000+00:00,,,,20.0
GW200225_060421,GWOSC,GW,2020-02-25 06:04:21.300000+00:00,,,,12.5
GW200302_015811,GWOSC,GW,2020-03-02 01:58:11.500000+00:00,,,,10.8
GW200306_093714,GWOSC,GW,2020-03-06 09:37:14.100000+00:00,,,,7.8
GW200308_173609,GWOSC,GW,2020-03-08 17:36:09.700000+00:00,,,,4.7
GW200311_115853,GWOSC,GW,2020-03-11 11:58:53.300000+00:00,,,,17.8
GW200316_215756,GWOSC,GW,2020-03-16 21:57:56.100000+00:00,,,,10.3
GW200322_091133,GWOSC,GW,2020-03-22 09:11:33.300000+00:00,,,,4.5
