event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,strength_signal
GRB 730302,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041743+00:00,60.04,59.14,0.731087412,
GRB 730416,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041788+00:00,,,1.644172972,
GRB 730507,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041809+00:00,342.51,56.27,1.323447315,3.27E-07
GRB 730507,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041809+00:00,342.51,56.27,1.248293042,3.27E-07
GRB 730606A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041839+00:00,,,1.109788814,
GRB 730606B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041839+00:00,,,1.049959314,
GRB 730606C,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041839+00:00,,,1.730874399,
GRB 730610,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041843+00:00,25.55,-35.75,1.820211156,5.45E-07
GRB 730610,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041843+00:00,68.7,13.1,0.745095532,5.45E-07
GRB 730721,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041884+00:00,47.8,37.19,1.244863903,
GRB 730725,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041888+00:00,75.8,30.07,1.195297275,
GRB 730918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041943+00:00,,,1.758459144,
GRB 730926,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000041951+00:00,,,0.882750456,
GRB 731217,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042033+00:00,,,1.358724608,
GRB 731223,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042039+00:00,,,1.042547864,
GRB 740121,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042068+00:00,,,0.657158907,
GRB 740402,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042139+00:00,,,1.683957695,
GRB 740723,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042251+00:00,,,0.803422031,
GRB 740724,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042252+00:00,,,1.917605699,
GRB 740823,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042282+00:00,,,0.651242754,
GRB 740929,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042319+00:00,,,0.869275606,
GRB 741214,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042395+00:00,,,1.422833983,
GRB 751102,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042718+00:00,,,1.272044799,
GRB 751202,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042748+00:00,,,0.765055491,
GRB 760128,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042805+00:00,108,12,1.166568006,
GRB 760322,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042859+00:00,184.993,-2.244,1.085488955,
GRB 760407,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042875+00:00,2.202,0.993,1.327474848,
GRB 760419,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042887+00:00,13.424,5.758,1.530632841,
GRB 760612,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000042941+00:00,,,0.594946023,
GRB 760816,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043006+00:00,,,0.557233436,
GRB 760903,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043024+00:00,,,0.977994324,
GRB 761123,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043105+00:00,,,1.049366132,
GRB 761204,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043116+00:00,,,1.216016038,
GRB 761209,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043121+00:00,268.47,-71.51,0.870153858,
GRB 761220,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043132+00:00,342.71,-39.73,1.616173057,
GRB 770107,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043150+00:00,,,0.556897109,
GRB 770131,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043174+00:00,,,0.594134067,
GRB 770310,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043212+00:00,29.83,12.174,1.01748367,
GRB 770410,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043243+00:00,,,1.102521093,
GRB 770501,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043264+00:00,,,0.992593888,
GRB 770708,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043332+00:00,106.01,22.601,1.28654893,
GRB 771020,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043436+00:00,214.68,-14.23,1.804780871,
GRB 771029,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043445+00:00,51.716,19.174,1.864132226,
GRB 771110,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043457+00:00,244.737,-21.12,1.661261257,
GRB 780508,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043636+00:00,32.675,13.235,1.455513593,
GRB 780519,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043647+00:00,47.707,18.189,1.373175412,
GRB 780521,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043649+00:00,,,1.886538139,
GRB 780914B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043765+00:00,,,0.900897763,9.26E-08
GRB 780914A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043765+00:00,,,0.967508036,
GRB 780914B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043765+00:00,,,0.589238394,9.26E-08
GRB 780914B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043765+00:00,98.53,54.96,1.156447617,9.26E-08
GRB 780914B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043765+00:00,62.971,27.828,1.463709846,9.26E-08
GRB 780916,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043767+00:00,,,1.948475796,2.50E-08
GRB 780918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043769+00:00,,,0.509831686,1.53E-07
GRB 780918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043769+00:00,,,1.174155028,1.53E-07
GRB 780918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043769+00:00,241.43,40.37,0.908394062,1.53E-07
GRB 780918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043769+00:00,,,0.501648721,1.53E-07
GRB 780918,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043769+00:00,229.47,38.32,1.326102097,1.53E-07
GRB 780921A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043772+00:00,133.38,34.21,1.315662372,1.85E-07
GRB 780921A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043772+00:00,,,1.081205407,1.85E-07
GRB 780921A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043772+00:00,,,0.537904571,1.85E-07
GRB 780921A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043772+00:00,,,0.566809724,1.85E-07
GRB 780921A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043772+00:00,133.78,33.81,0.505938745,1.85E-07
GRB 780921B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043772+00:00,,,1.242612351,5.40E-09
GRB 780922,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043773+00:00,,,1.051470932,1.14E-08
GRB 780930,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043781+00:00,,,0.79970239,9.81E-08
GRB 781004,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043785+00:00,,,1.536377841,3.22E-09
GRB 781005,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043786+00:00,,,1.017253347,3.43E-08
GRB 781005,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043786+00:00,,,1.081217351,3.43E-08
GRB 781006A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,,,1.124299154,1.42E-07
GRB 781006A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,,,1.779942125,1.42E-07
GRB 781006A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,,,1.123581385,1.42E-07
GRB 781006B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,,,0.630558088,9.26E-08
GRB 781006B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,,,1.421719108,9.26E-08
GRB 781006B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,2.74,13.68,1.004571035,9.26E-08
GRB 781006A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,,,0.661820222,1.42E-07
GRB 781006B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043787+00:00,35.226,-4.972,1.577855219,9.26E-08
GRB 781011,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043792+00:00,,,1.069347526,7.03E-09
GRB 781012B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043793+00:00,270.73,-17,1.807228437,
GRB 781012C,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043793+00:00,,,1.155444657,2.18E-08
GRB 781012C,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043793+00:00,,,1.99741703,2.18E-08
GRB 781012C,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043793+00:00,,,1.820189714,2.18E-08
GRB 781012A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043793+00:00,,,0.547951687,5.07E-08
GRB 781012C,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043793+00:00,,,0.877129028,2.18E-08
GRB 781013,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043794+00:00,,,1.884631191,5.94E-09
GRB 781013,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043794+00:00,,,1.301957294,5.94E-09
GRB 781013,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043794+00:00,,,0.504210951,5.94E-09
GRB 781013,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043794+00:00,63.731,-51.076,0.901854261,5.94E-09
GRB 781019,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043800+00:00,,,1.868818776,7.08E-08
GRB 781019,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043800+00:00,,,0.848327838,7.08E-08
GRB 781019,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043800+00:00,238.46,36.85,1.19885523,7.08E-08
GRB 781019,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043800+00:00,181.44,-8.08,0.894785233,7.08E-08
GRB 781022,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043803+00:00,,,1.511634331,1.09E-08
GRB 781023,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043804+00:00,,,1.927143879,3.65E-08
GRB 781023,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043804+00:00,211.63,3.76,1.908943666,3.65E-08
GRB 781023,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043804+00:00,,,1.914156598,3.65E-08
GRB 781023,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043804+00:00,,,0.845779105,3.65E-08
GRB 781025,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043806+00:00,,,1.801576673,2.18E-08
GRB 781025,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043806+00:00,43.09,-15.3,1.745802054,2.18E-08
GRB 781025,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043806+00:00,,,0.772705449,2.18E-08
GRB 781025,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043806+00:00,,,1.542216277,2.18E-08
GRB 781026,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043807+00:00,,,1.698521177,9.27E-07
GRB 781026,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043807+00:00,,,0.728733675,9.27E-07
GRB 781026,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043807+00:00,,,1.093704272,9.27E-07
GRB 781026,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043807+00:00,261.62,3.46,1.349723005,9.27E-07
GRB 781102,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043814+00:00,,,0.657038255,1.41E-08
GRB 781102,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043814+00:00,232.68,-9.17,1.073505196,1.41E-08
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,302.23,-21.45,1.188364525,1.42E-06
GRB 781104A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,,,1.336286611,2.99E-08
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,,,1.095477364,1.42E-06
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,,,1.393287132,1.42E-06
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,,,0.557042494,1.42E-06
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,,,1.43340478,1.42E-06
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,302.23,-21.45,1.627137122,1.42E-06
GRB 781104B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043816+00:00,,,1.768818673,1.42E-06
GRB 781107,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043819+00:00,,,1.916035382,8.12E-09
GRB 781109,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043821+00:00,30.328,-4.859,0.72889725,1.09E-08
GRB 781109,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043821+00:00,,,1.312142886,1.09E-08
GRB 781111,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043823+00:00,,,0.685712431,1.63E-08
GRB 781113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043825+00:00,,,1.604240656,2.45E-08
GRB 781115A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,,,1.951233916,1.20E-07
GRB 781115A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,,,0.723498739,1.20E-07
GRB 781115A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,,,1.625642917,1.20E-07
GRB 781115B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,,,1.283019084,1.58E-08
GRB 781115A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,210.46,51.76,0.953977825,1.20E-07
GRB 781115A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,211.26,51.96,1.260444191,1.20E-07
GRB 781115A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043827+00:00,,,1.592843945,1.20E-07
GRB 781117,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043829+00:00,,,1.413997824,6.54E-08
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,,,1.429783164,1.74E-06
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,,,1.544850148,1.74E-06
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,,,1.332096529,1.74E-06
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,,,0.759289828,1.74E-06
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,,,0.968452456,1.74E-06
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,19.72,-28.64,0.898712495,1.74E-06
GRB 781119,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043831+00:00,19.72,-28.64,1.561153635,1.74E-06
GRB 781121A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,,,0.913889017,9.60E-07
GRB 781121A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,256.44,0.53,1.499278182,9.60E-07
GRB 781121A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,256.34,0.83,1.481789011,9.60E-07
GRB 781121A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,,,1.812381132,9.60E-07
GRB 781121A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,,,1.070176557,9.60E-07
GRB 781121A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,,,1.794553057,9.60E-07
