event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
188131,TNS,AT,2025-09-05 12:04:13.998000+00:00,60.922115,-9.9866834,5.56E-05,19.7459
188024,TNS,AT,2025-09-03 05:06:12.096000+00:00,110.0801109,30.9498961,5.56E-05,19.464
187984,TNS,AT,2025-09-02 13:45:34.848000+00:00,113.6051864,50.7308779,5.56E-05,19.132
188130,TNS,AT,2025-09-05 10:53:52.995000+00:00,106.9623707,50.3378386,5.56E-05,19.652
187851,TNS,AT,2025-08-30 14:43:27.264000+00:00,104.7393608,50.0952305,5.56E-05,19.092
188129,TNS,AT,2025-08-29 10:25:58.002000+00:00,96.0528665,59.0033622,5.56E-05,19.9308
188128,TNS,AT,2025-09-05 12:18:22.999000+00:00,106.0459866,48.3444454,5.56E-05,19.5586
188127,TNS,AT,2025-08-27 09:58:28.004000+00:00,104.4160577,76.9705615,5.56E-05,19.3805
187657,TNS,SN Ia,2025-08-27 08:32:46.996000+00:00,353.4279847,6.961259663,5.56E-05,20.4106
187186,TNS,AT,2025-08-27 04:50:52.999000+00:00,285.5251083,61.38830167,5.56E-05,19.9807
187124,TNS,SN Ia,2025-08-24 07:51:45.996000+00:00,352.8920682,46.30467676,5.56E-05,20.4796
186976,TNS,AT,2025-08-22 08:51:12+00:00,5.633931525,52.83866758,5.56E-05,20.3733
187656,TNS,AT,2025-08-21 11:20:22.997000+00:00,36.02131035,44.58578118,5.56E-05,20.7847
188126,TNS,AT,2025-09-05 14:16:34.176000+00:00,96.13550833,52.12137667,5.56E-05,18.793
188125,TNS,AT,2025-09-04 19:54:20.160000+00:00,13.302708,52.575528,5.56E-05,18.13
188124,TNS,AT,2025-09-04 17:15:24.192000+00:00,333.081375,54.40975,5.56E-05,18.63
188123,TNS,AT,2025-09-02 11:09:14.996000+00:00,9.2061736,6.7804366,5.56E-05,20.865
188121,TNS,AT,2025-09-01 07:46:16+00:00,357.3155014,46.0714109,5.56E-05,20.4169
188120,TNS,AT,2025-08-23 21:28:48+00:00,27.82375,1.745861,5.56E-05,22.91
188119,TNS,AT,2025-08-09 21:18:43.200000+00:00,32.300583,5.508533,5.56E-05,20.5
188118,TNS,AT,2025-08-13 21:02:52.800000+00:00,30.035625,4.834542,5.56E-05,22.47
188117,TNS,AT,2018-11-12 10:54:54.996000+00:00,102.6274158,28.5593941,5.56E-05,19.238
185696,TNS,SN Ia,2025-08-09 07:32:51.072000+00:00,245.838212,8.920889,5.56E-05,17.986
187964,TNS,CV,2025-09-02 10:19:16.320000+00:00,17.499485,45.5350032,5.56E-05,17.655
187994,TNS,AT,2025-09-03 00:16:49.152000+00:00,11.1490673,-3.6340568,5.56E-05,19.44
188116,TNS,AT,2025-09-05 03:11:59.003000+00:00,220.7154978,54.2219563,5.56E-05,19.3872
188115,TNS,AT,2025-08-30 12:19:30.002000+00:00,112.7601844,13.0900155,5.56E-05,19.3875
188114,TNS,AT,2025-09-05 02:25:21.216000+00:00,30.5809827,1.257759109,5.56E-05,18.72
188113,TNS,AT,2025-09-04 08:24:26.999000+00:00,53.1442367,8.9470482,5.56E-05,19.3474
188112,TNS,AT,2017-07-25 07:00:40+00:00,342.8645,11.133194,5.56E-05,21.6
188111,TNS,AT,2025-09-01 18:02:18.240000+00:00,90.365535,-34.233074,5.56E-05,19.55
188110,TNS,AT,2025-09-04 19:06:17.856000+00:00,114.102462,-49.454286,5.56E-05,19.41
188109,TNS,AT,2025-08-30 03:46:48+00:00,250.0831987,1.8009824,5.56E-05,19.8219
188108,TNS,AT,2025-08-21 04:20:55.999000+00:00,232.0097111,74.3976086,5.56E-05,20.7907
188107,TNS,AT,2025-08-18 04:36:24.998000+00:00,235.1140719,26.8707608,5.56E-05,21.1851
188106,TNS,AT,2025-09-05 03:50:45.997000+00:00,219.1956341,31.9457064,5.56E-05,19.0589
188105,TNS,AT,2025-09-05 03:47:59.997000+00:00,226.3263683,48.2757833,5.56E-05,19.3077
188104,TNS,AT,2025-09-05 03:47:59.997000+00:00,221.1055546,44.6484412,5.56E-05,19.4441
188101,TNS,AT,2025-08-14 04:29:16.998000+00:00,279.4018431,19.5021465,5.56E-05,21.3784
188053,TNS,AT,2025-08-29 05:43:20.352000+00:00,240.8205306,3.0118161,5.56E-05,18.632
188098,TNS,AT,2025-09-05 00:21:25.632000+00:00,46.31832035,33.09254355,5.56E-05,19.53
188097,TNS,AT,2025-09-05 03:05:49.997000+00:00,236.7181796,22.1866349,5.56E-05,19.4702
188095,TNS,AT,2025-09-04 22:53:45.600000+00:00,26.22236339,16.66569075,5.56E-05,19.09
188093,TNS,AT,2025-09-05 00:11:10.464000+00:00,29.30052106,22.73403938,5.56E-05,20.1
188092,TNS,AT,2025-09-04 17:25:03.072000+00:00,321.129333,64.399528,5.56E-05,15.67
