,table_name,column_name,description,unit,ucd,utype,xtype,datatype,size,principal,indexed,std
238,fermigbrst,pflx_sbpl_indx1,Smoothly Broken Power Law Model Index 1 for Peak Flux Spectrum,,stat.fit.param,,,double,,0,0,0
239,fermigbrst,flnc_sbpl_indx2_neg_err,SBPL Index 2 Negative Error for Fluence Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
240,fermigbrst,flnc_spectrum_stop,End Time for Fluence Spectrum Fits Relative to Trigger Time,s,time.end;obs,,,double,,1,0,0
241,fermigbrst,pflx_sbpl_indx2,Smoothly Broken Power Law Model Index 2 for Peak Flux Spectrum,,stat.fit.param,,,double,,0,0,0
242,fermigbrst,flux_batse_256_time,Start Time for Peak Flux Interval (256ms Timescale) Relative to Trigger Time,s,time.start;obs,,,double,,0,0,0
243,fermigbrst,flnc_comp_phtflnc_error,Comptonized Model Photon Fluence Error for Fluence Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
244,fermigbrst,actual_1024ms_interval,Actual Length of Nominal 1024ms Timescale for Peak Flux Measurement,s,time.scale,,,double,,0,0,0
245,fermigbrst,flnc_sbpl_indx2,Smoothly Broken Power Law Model Index 2 for Fluence Spectrum,,stat.fit.param,,,double,,0,0,0
246,fermigbrst,flux_256_error,Uncertainty in the 10-1000 keV Peak Flux (256ms Timescale),photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
247,fermigbrst,pflx_best_model_redchisq,Reduced Chi-Squared for Peak Flux Spectrum Model Which Best Fits the Data,,stat.fit.chi2,,,double,,1,0,0
248,fermigbrst,pflx_plaw_pivot_neg_err,Power Law Model Pivot Energy Negative Error for Peak Flux Spectrum,keV,stat.error;stat.fit.param,,,double,,0,0,0
249,fermigbrst,flnc_plaw_phtflux,Power Law Model Photon Flux for Fluence Spectrum,photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
250,fermigbrst,pflx_sbpl_redchisq,SBPL Reduced Chi-Squared for Peak Flux Spectrum,,stat.fit.chi2,,,double,,0,0,0
251,fermigbrst,flux_batse_256_error,Uncertainty in the 50-300 keV Peak Flux (256ms Timescale),photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
252,fermigbrst,flnc_comp_phtflncb_error,Comptonized Model 50-300 keV (BATSE) Photon Fluence Error for Fluence Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
253,fermigbrst,pflx_band_ergflnc,Band Model Energy Fluence for Peak Flux Spectrum,erg/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
254,fermigbrst,"""__z_ra_dec""",System unit vector column,,,,,double,,0,0,0
255,fermigbrst,pflx_sbpl_ampl_pos_err,SBPL Amplitude Positive Error for Peak Flux Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,0,0,0
256,fermigbrst,pflx_plaw_pivot,Power Law Model Pivot Energy for Peak Flux Spectrum,keV,stat.fit.param,,,double,,0,0,0
257,fermigbrst,pflx_best_fitting_model,Peak Flux Spectrum Model Which Best Fits the Data,,stat.fit,,,char,32,1,0,0
258,fermigbrst,pflx_comp_epeak_neg_err,Comptonized Model Peak Energy Negative Error for Peak Flux Spectrum,keV,stat.error;stat.fit.param,,,double,,0,0,0
259,fermigbrst,flnc_plaw_ergflnc_error,Power Law Model Energy Fluence Error for Fluence Spectrum,erg/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
260,fermigbrst,pflx_sbpl_phtfluxb_error,SBPL 50-300 keV (BATSE) Photon Flux Error for Peak Flux Spectrum,photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
261,fermigbrst,flnc_band_redchisq,Band Model Reduced Chi-Squared for Fluence Spectrum,,stat.fit.chi2,,,double,,0,0,0
262,fermigbrst,flux_1024,10-1000 keV Peak Flux (1024ms Timescale),photon/cm^2/s,phot.flux;em.gamma,,,double,,1,0,0
263,fermigbrst,back_interval_high_start,Start Time for Upper Background Selection Interval Relative to the Trigger Time,s,time.start;obs,,,double,,0,0,0
264,fermigbrst,pflx_sbpl_ampl_neg_err,SBPL Amplitude Negative Error for Peak Flux Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,0,0,0
265,fermigbrst,pflx_sbpl_brken_pos_err,SBPL Break Energy Positive Error for Peak Flux Spectrum,keV,stat.error;stat.fit.param,,,double,,0,0,0
266,fermigbrst,bcat_detector_mask,Flags [01] Indicate Included Detectors by Position,,,,,char,14,0,0,0
267,fermigbrst,flnc_band_beta_pos_err,Band Model Beta Positive Error for Fluence Spectrum,,stat.error;stat.fit.param,,,double,,1,0,0
268,fermigbrst,flnc_plaw_ergflncb,Power Law Model 50-300 keV (BATSE) Energy Fluence for Fluence Spectrum,erg/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
269,fermigbrst,pflx_sbpl_phtflncb_error,SBPL 50-300 keV (BATSE) Photon Fluence Error for Peak Flux Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
270,fermigbrst,pflx_band_phtflncb_error,Band Model 50-300 keV (BATSE) Photon Fluence Error for Peak Flux Spectrum,photon/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
271,fermigbrst,flnc_comp_ergflux_error,Comptonized Model Energy Flux Error for Fluence Spectrum,erg/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
272,fermigbrst,pflx_band_redfitstat,Band Model Reduced Fitting Statistic for Peak Flux Spectrum,,stat.fit.goodness,,,double,,0,0,0
273,fermigbrst,lii,Galactic Longitude,degree,pos.galactic.lon,,,double,,0,0,0
274,fermigbrst,pflx_comp_dof,Comptonized Model Degrees of Freedom for Peak Flux Spectrum,,stat.fit.dof,,,double,,0,0,0
275,fermigbrst,pflx_band_epeak_neg_err,Band Model Peak Energy Negative Error for Peak Flux Spectrum,keV,stat.error;stat.fit.param,,,double,,0,0,0
276,fermigbrst,flnc_band_ampl_neg_err,Band Model Amplitude Negative Error for Fluence Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,1,0,0
277,fermigbrst,flnc_sbpl_ergflncb_error,SBPL 50-300 keV (BATSE) Energy Fluence Error for Fluence Spectrum,erg/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
278,fermigbrst,pflx_band_beta_neg_err,Band Model Beta Negative Error for Peak Flux Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
279,fermigbrst,flnc_band_epeak,Band Model Peak Energy for Fluence Spectrum,keV,stat.fit.param,,,double,,1,0,0
280,fermigbrst,pflx_sbpl_indx2_pos_err,SBPL Index 2 Positive Error for Peak Flux Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
281,fermigbrst,flnc_spectrum_start,Start Time for Fluence Spectrum Fits Relative to Trigger Time,s,time.start;obs,,,double,,1,0,0
282,fermigbrst,pflx_sbpl_ergflux,SBPL Energy Flux for Peak Flux Spectrum,erg/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
283,fermigbrst,flnc_comp_pivot_pos_err,Comptonized Model Pivot Energy Positive Error for Fluence Spectrum,keV,stat.error;stat.fit.param,,,double,,0,0,0
284,fermigbrst,flux_64,10-1000 keV Peak Flux (64ms Timescale),photon/cm^2/s,phot.flux;em.gamma,,,double,,1,0,0
285,fermigbrst,flux_batse_1024,50-300 keV Peak Flux (1024ms Timescale),photon/cm^2/s,phot.flux;em.gamma,,,double,,0,0,0
286,fermigbrst,pflx_sbpl_dof,SBPL Degrees of Freedom for Peak Flux Spectrum,,stat.fit.dof,,,double,,0,0,0
287,fermigbrst,pflx_plaw_index_pos_err,Power Law Model Index Positive Error for Peak Flux Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
288,fermigbrst,flnc_sbpl_brken,Smoothly Broken Power Law Model Break Energy for Fluence Spectrum,keV,stat.fit.param,,,double,,0,0,0
289,fermigbrst,flnc_band_phtflncb,Band Model 50-300 keV (BATSE) Photon Fluence for Fluence Spectrum,photon/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
290,fermigbrst,"""__y_ra_dec""",System unit vector column,,,,,double,,0,0,0
291,fermigbrst,trigger_time,Observation Trigger Time,mjd,time.epoch;obs,,,double,,1,0,0
292,fermigbrst,flnc_plaw_index_pos_err,Power Law Model Index Positive Error for Fluence Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
293,fermigbrst,pflx_band_alpha_neg_err,Band Model Alpha Negative Error for Peak Flux Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
294,fermigbrst,flnc_comp_ergflnc,Comptonized Model Energy Fluence for Fluence Spectrum,erg/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
295,fermigbrst,pflx_band_statistic,Band Model Statistical Merit Function for Peak Flux Spectrum,,stat.fit,,,char,32,0,0,0
296,fermigbrst,pflx_band_phtfluxb_error,Band Model 50-300 keV (BATSE) Photon Flux Error for Peak Flux Spectrum,photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
297,fermigbrst,flnc_plaw_ampl_neg_err,Power Law Model Amplitude Negative Error for Fluence Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,0,0,0
298,fermigbrst,flnc_comp_statistic,Comptonized Model Statistical Merit Function for Fluence Spectrum,,stat.fit,,,char,32,0,0,0
299,fermigbrst,flnc_sbpl_ergflux_error,SBPL Energy Flux Error for Fluence Spectrum,erg/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
300,fermigbrst,flnc_band_alpha,Band Model Alpha for Fluence Spectrum,,stat.fit.param,,,double,,1,0,0
301,fermigbrst,flnc_comp_index_pos_err,Comptonized Model Index Positive Error for Fluence Spectrum,,stat.error;stat.fit.param,,,double,,0,0,0
302,fermigbrst,back_interval_high_stop,Stop Time for Upper Background Selection Interval Relative to the Trigger Time,s,time.end;obs,,,double,,0,0,0
303,fermigbrst,flnc_band_dof,Band Model Degrees of Freedom for Fluence Spectrum,,stat.fit.dof,,,double,,0,0,0
304,fermigbrst,pflx_plaw_ergflux_error,Power Law Model Energy Flux Error for Peak Flux Spectrum,erg/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
305,fermigbrst,fluence,10-1000 keV Fluence,erg/cm^2,phot.fluence;em.gamma,,,double,,1,0,0
306,fermigbrst,pflx_comp_redchisq,Comptonized Model Reduced Chi-Squared for Peak Flux Spectrum,,stat.fit.chi2,,,double,,0,0,0
307,fermigbrst,back_interval_low_stop,Stop Time for Lower Background Selection Interval Relative to the Trigger Time,s,time.end;obs,,,double,,0,0,0
308,fermigbrst,flnc_sbpl_brken_neg_err,SBPL Break Energy Negative Error for Fluence Spectrum,keV,stat.error;stat.fit.param,,,double,,0,0,0
309,fermigbrst,pflx_band_ergflnc_error,Band Model Energy Fluence Error for Peak Flux Spectrum,erg/cm^2,stat.error;phot.fluence;em.gamma,,,double,,0,0,0
